lottery_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33
3039,6,9,1,1,1,9,1,1,2,4,4,17,5,2,10,5,2,2,21,6,3,8,1,1,1,2,1,3,7,6,13,1,20,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3040,7,10,1,1,1,1,2,2,3,5,5,1,6,1,11,6,3,3,22,7,4,9,1,1,2,3,1,4,8,7,14,1,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3041,8,1,1,1,1,1,3,3,4,6,6,1,7,1,12,7,1,1,23,8,5,10,1,1,1,4,2,5,9,8,15,2,22,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3042,9,1,1,2,1,2,1,4,5,1,7,2,8,2,1,8,1,1,24,1,6,11,2,1,1,5,3,6,10,9,16,3,23,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3043,10,1,1,3,1,3,1,1,6,1,8,3,9,3,1,9,2,2,1,1,7,12,3,2,2,6,4,7,11,10,17,1,24,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3044,11,1,2,1,1,4,2,1,1,1,9,4,10,4,2,1,3,3,1,1,8,13,4,3,3,7,5,8,12,11,18,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3045,12,1,1,5,1,5,1,2,1,2,10,5,11,1,1,1,1,4,2,2,9,14,5,4,4,8,6,9,13,12,19,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3046,13,1,1,6,2,1,1,1,2,1,1,6,12,1,1,2,1,5,3,3,10,15,6,5,5,1,7,10,14,13,20,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
3047,14,3,1,7,3,7,1,1,3,1,1,7,1,2,2,3,1,6,4,4,11,16,7,6,6,1,8,1,15,14,21,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
3048,15,4,1,8,4,8,2,2,4,1,2,1,14,3,3,4,1,7,5,1,12,17,8,7,7,1,9,1,16,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3049,16,5,1,9,1,1,1,3,5,1,3,1,1,4,4,5,2,8,6,1,13,18,9,1,1,2,10,1,17,1,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
3050,17,1,1,10,6,1,1,1,6,2,4,2,1,5,5,6,1,9,7,2,14,19,1,1,1,1,11,2,18,2,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3051,18,1,2,1,7,2,2,1,7,3,5,3,1,6,1,7,1,10,8,3,15,20,1,1,2,1,1,3,19,3,3,4,4,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
3052,1,1,1,1,8,3,3,2,8,4,6,1,1,7,1,8,1,11,9,4,16,21,1,1,3,2,1,4,20,1,1,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
3053,1,3,4,2,9,4,4,3,1,5,7,1,1,8,1,9,2,12,1,1,1,1,1,2,4,3,2,1,1,1,1,6,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3054,2,1,5,3,1,5,5,4,1,6,8,2,2,9,1,10,3,13,1,1,1,23,2,3,5,4,3,1,1,2,1,7,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3055,3,1,6,1,1,1,6,5,1,7,9,3,1,10,2,1,4,14,2,2,1,24,3,4,6,5,4,1,2,3,1,8,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
3056,4,1,7,5,2,1,1,1,2,8,10,4,1,11,3,1,1,15,3,3,1,25,4,5,7,1,5,1,1,4,1,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
3057,5,3,8,6,3,2,8,1,3,9,1,5,2,12,4,2,1,1,1,4,1,26,5,1,1,1,6,1,1,1,1,10,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
3058,6,4,9,7,4,3,9,2,1,1,1,6,3,13,5,1,2,1,1,5,2,27,6,1,1,2,7,1,2,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3059,7,1,1,8,1,1,10,3,1,11,1,7,4,1,6,1,3,1,2,6,3,28,7,2,2,3,8,1,3,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3060,8,1,1,1,1,1,11,4,2,12,2,8,5,15,7,2,1,1,3,7,1,29,8,3,3,4,9,1,4,1,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
3061,9,1,1,1,1,1,12,5,3,13,3,9,6,16,8,3,1,2,4,1,1,30,9,4,4,5,10,1,5,2,4,1,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3062,1,1,1,2,1,1,13,6,4,14,4,1,7,17,9,4,2,3,1,1,1,31,10,5,5,6,11,1,6,3,5,1,4,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3063,1,3,2,3,1,1,14,1,1,15,5,1,8,1,10,5,3,4,1,1,1,32,11,6,6,7,12,2,7,4,6,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
